treat,sim,an_mbe,an_rmse,e_mbe,e_rmse
ww,sim0,-0.051909718477230367,5.4855457305525137,89.466239528284021,141.66446008942523
ww,sim1,1.259010978690791,7.4301344033772123,225.00334182464707,361.18357575613237
ww,sim2,1.2014013791105675,5.2713845531137755,170.15288191369015,247.4531022336021
ww,sim3,-0.25619092657093223,5.5829424838741728,109.17880562355603,154.60276044804414
ww,sim4,0.50396645797126982,5.3957488856738012,100.03530354699046,156.68214220659749
ws,sim0,1.010557860506649,3.7581259962191074,27.650360054899654,67.570546085109285
ws,sim1,3.0316942947008552,6.9534095582668689,193.89281738817965,315.4147399719518
ws,sim2,1.363692781794585,3.8564779052298519,35.407294393274391,71.131528719311277
ws,sim3,1.0450312828027237,3.8226861782122543,34.120378493320707,70.808298231510008
ws,sim4,3.1606701990475412,6.0690600845156348,127.39656220185651,196.01912731881146
